2026-01-12 12:46:55,637 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-12 12:47:08,388 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-12 12:47:08,407 - INFO - Action: APP_START | Details: User launched application
2026-01-12 12:47:08,612 - INFO - Action: PAGE_VIEW | Details: Dashboard
2026-01-12 12:47:16,957 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-12 12:47:18,899 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-12 12:47:19,358 - INFO - Action: SCHEDULE_OPTIMIZATION | Details: Task 1 - Cost: £1,755.00
2026-01-12 12:47:19,557 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-12 12:47:25,703 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-12 12:47:31,084 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-12 12:47:31,300 - INFO - Action: SCHEDULE_OPTIMIZATION | Details: Task 2 - Deviation: 3.67
2026-01-12 12:47:31,459 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-12 12:47:49,072 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-12 12:47:49,305 - INFO - Action: SCHEDULE_OPTIMIZATION | Details: Task 3 - Cost: £1,762.00
2026-01-12 12:47:49,522 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-12 12:48:00,358 - INFO - Action: PAGE_VIEW | Details: Analytics
2026-01-12 12:48:07,652 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 12:48:10,421 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 12:48:11,163 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 12:48:13,236 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 12:48:13,288 - INFO - Action: SAMPLING | Details: Size: 400, Seed: 67
2026-01-12 12:48:13,571 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 12:49:38,857 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 12:49:39,108 - INFO - Action: MODEL_LOAD | Details: XGBoost model loaded
2026-01-12 12:49:48,037 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 12:49:48,481 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 12:49:50,035 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 12:49:50,340 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 12:49:50,594 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 12:49:51,895 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 12:49:52,175 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 12:49:53,487 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 12:49:53,783 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 12:49:54,386 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 12:49:56,002 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 12:49:57,859 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 12:49:59,578 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 12:49:59,646 - INFO - Action: BREACH_PREDICTION | Details: Prediction: 0, Probability: [0.6294102 0.3705898]
2026-01-12 12:50:15,744 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 12:50:17,991 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 12:50:20,392 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 12:50:22,552 - INFO - Action: PAGE_VIEW | Details: Analytics
2026-01-12 12:50:26,014 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 12:51:07,103 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 12:51:14,302 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 12:51:26,196 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 12:51:31,386 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 12:51:32,600 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 12:51:39,392 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 12:51:39,741 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 12:51:39,788 - INFO - Action: DATA_MODIFY | Details: Updated 2 records: Age changed from [108, 101] to 55.0
2026-01-12 12:51:40,049 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 12:53:05,914 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 12:54:08,862 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 12:54:14,644 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 12:54:26,188 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 12:54:28,926 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 12:54:36,555 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 12:54:37,529 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 12:54:48,083 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 12:54:48,470 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 12:54:48,531 - INFO - Action: DATA_MODIFY | Details: Updated 2 records: Age changed from [100, 100] to 70.0
2026-01-12 12:54:48,794 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 12:56:58,042 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 12:59:07,908 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-12 12:59:09,811 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-12 12:59:09,829 - INFO - Action: APP_START | Details: User launched application
2026-01-12 12:59:10,105 - INFO - Action: PAGE_VIEW | Details: Dashboard
2026-01-12 12:59:25,536 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 12:59:27,478 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 12:59:27,495 - INFO - Action: SAMPLING | Details: Size: 400, Seed: 67
2026-01-12 12:59:27,751 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 13:00:29,839 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-12 13:00:31,228 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-12 13:00:31,238 - INFO - Action: APP_START | Details: User launched application
2026-01-12 13:00:31,419 - INFO - Action: PAGE_VIEW | Details: Dashboard
2026-01-12 13:00:33,593 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 13:00:35,550 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 13:00:35,577 - INFO - Action: SAMPLING | Details: Size: 400, Seed: 67
2026-01-12 13:00:35,889 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 13:04:14,110 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-12 13:04:15,828 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-12 13:04:15,839 - INFO - Action: APP_START | Details: User launched application
2026-01-12 13:04:16,092 - INFO - Action: PAGE_VIEW | Details: Dashboard
2026-01-12 13:04:18,655 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 13:04:22,376 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 13:04:22,392 - INFO - Action: SAMPLING | Details: Size: 400, Seed: 67
2026-01-12 13:04:22,661 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 13:08:03,812 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-12 13:08:05,501 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-12 13:08:05,532 - INFO - Action: APP_START | Details: User launched application
2026-01-12 13:08:05,803 - INFO - Action: PAGE_VIEW | Details: Dashboard
2026-01-12 13:08:09,795 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 13:08:11,842 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 13:08:11,863 - INFO - Action: SAMPLING | Details: Size: 400, Seed: 67
2026-01-12 13:08:12,157 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 13:08:44,590 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 13:08:44,757 - INFO - Action: MODEL_LOAD | Details: XGBoost model loaded
2026-01-12 13:08:46,214 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 13:08:51,172 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 13:08:52,433 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 13:08:53,685 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 13:11:44,419 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-12 13:11:47,388 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-12 13:11:47,489 - INFO - Action: APP_START | Details: User launched application
2026-01-12 13:11:47,718 - INFO - Action: PAGE_VIEW | Details: Dashboard
2026-01-12 13:12:10,817 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 13:12:10,859 - INFO - Action: MODEL_LOAD | Details: XGBoost model loaded
2026-01-12 13:12:21,184 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 13:12:25,363 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 13:12:31,530 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 13:12:33,674 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 13:15:08,384 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-12 13:15:09,557 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-12 13:15:09,563 - INFO - Action: APP_START | Details: User launched application
2026-01-12 13:15:09,795 - INFO - Action: PAGE_VIEW | Details: Dashboard
2026-01-12 13:15:37,642 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-12 13:15:39,124 - INFO - Action: PAGE_VIEW | Details: Analytics
2026-01-12 13:15:40,230 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 13:15:42,281 - INFO - Action: PAGE_VIEW | Details: Analytics
2026-01-12 13:15:42,992 - INFO - Action: PAGE_VIEW | Details: Dashboard
2026-01-12 13:15:48,406 - INFO - Action: PAGE_VIEW | Details: Analytics
2026-01-12 13:15:49,121 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 13:15:50,677 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 13:15:50,723 - INFO - Action: MODEL_LOAD | Details: XGBoost model loaded
2026-01-12 13:15:56,064 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 13:16:08,189 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 13:16:18,329 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 13:16:19,627 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 13:16:27,264 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 13:16:27,672 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 13:16:27,778 - INFO - Action: DATA_MODIFY | Details: Updated 2 records: Age changed from [108, 100] to 77.0
2026-01-12 13:16:28,045 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 13:17:11,826 - INFO - Action: PAGE_VIEW | Details: Dashboard
2026-01-12 13:20:30,981 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-12 13:20:32,264 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-12 13:20:32,292 - INFO - Action: APP_START | Details: User launched application
2026-01-12 13:20:32,553 - INFO - Action: PAGE_VIEW | Details: Dashboard
2026-01-12 13:20:33,969 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 13:20:33,994 - INFO - Action: MODEL_LOAD | Details: XGBoost model loaded
2026-01-12 13:20:36,403 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 13:20:37,543 - INFO - Action: PAGE_VIEW | Details: Dashboard
2026-01-12 13:20:41,870 - INFO - Action: PAGE_VIEW | Details: Scheduling
2026-01-12 13:20:43,911 - INFO - Action: PAGE_VIEW | Details: Analytics
2026-01-12 13:20:45,476 - INFO - Action: PAGE_VIEW | Details: Sampling
2026-01-12 13:20:46,385 - INFO - Action: PAGE_VIEW | Details: Breach Prediction
2026-01-12 13:20:47,877 - INFO - Action: PAGE_VIEW | Details: Data Management
2026-01-12 13:20:58,722 - INFO - Action: SYSTEM_RESET | Details: Application reset to initial state
2026-01-12 13:21:04,288 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
2026-01-12 13:21:05,739 - INFO - Action: DATA_UPLOAD | Details: File: AED4weeks.csv, Records: 8781
